cluster_id,start_distance_ft,end_distance_ft,span_ft,center_distance_ft,avg_clock_position,anomaly_count,max_depth_pct,avg_depth_pct,total_length_in,avg_width_in,severity_score,is_critical
42,21353.03,21362.58,9.55000000000291,21360.245,5.864583333333334,8,40.0,25.125,23.07,7.3925,34.921,True
43,21680.42,21681.38,0.9600000000027649,21680.9,6.058333333333334,2,15.0,12.5,2.99,1.3,9.897,False
44,21845.23,21845.28,0.049999999999272404,21845.254999999997,5.641666666666667,2,11.0,10.5,2.89,5.63,8.267,False
45,22083.48,22083.5,0.020000000000436557,22083.489999999998,5.808333333333334,2,48.0,32.0,5.3100000000000005,11.325,23.793000000000003,False
46,22483.34,22485.22,1.8800000000010186,22484.28,9.675,2,11.0,10.5,5.99,0.71,9.197000000000001,False
47,23022.0,23032.33,10.330000000001746,23027.903333333335,5.405555555555555,3,14.0,12.0,2.16,0.7866666666666666,10.748000000000001,False
48,23161.46,23162.08,0.6200000000026193,23161.77,1.75,2,25.0,17.5,8.55,0.965,15.565,False
49,23635.74,23644.93,9.18999999999869,23640.335,10.441666666666666,2,23.0,16.5,6.46,4.555,14.138000000000002,False
50,23674.28,23675.98,1.7000000000007276,23674.7225,6.295833333333334,4,29.0,21.25,6.91,9.4125,19.673000000000002,False
51,26867.58,26868.17,0.5899999999965075,26867.897500000003,6.429166666666666,4,31.0,20.5,6.87,4.555,20.461,False
52,27579.43,27582.88,3.4500000000007276,27581.638,1.1666666666666665,5,24.0,17.8,19.41,1.184,22.923000000000002,False
53,29206.49,29208.13,1.639999999999418,29207.30666666667,5.588888888888889,6,38.0,25.833333333333332,23.2,6.178333333333334,31.160000000000004,False
54,29410.95,29419.53,8.579999999998108,29415.735,5.550000000000001,4,22.0,17.0,16.419999999999998,3.36,19.726,False
55,29446.91,29452.86,5.950000000000728,29448.896666666667,6.594444444444444,3,42.0,24.0,2.4800000000000004,1.93,22.044,True
56,30262.24,30264.0,1.7599999999983993,30263.120000000003,5.558333333333334,2,10.0,10.0,2.3200000000000003,1.395,7.696,False
57,30570.99,30578.61,7.619999999998981,30575.563333333335,11.56851851851852,9,28.0,15.777777777777779,33.15,3.75,34.644999999999996,False
58,30676.87,30676.88,0.010000000002037268,30676.875,6.483333333333333,2,17.0,15.0,5.82,0.5900000000000001,11.546000000000001,False
59,31509.12,31509.22,0.10000000000218279,31509.17,6.183333333333334,2,31.0,22.5,10.0,22.81,18.4,False
